image,query_name,generation_mode,seconds,peak_mem_gb,steps,switch_to_ar,accepted_blocks,parsed_boxes,tokens,answer,truncated
000000000139.jpg,ground_single,hybrid,1.633,8.25,3,0,1,1,1,<ref>person</ref><box><645><368><725><693></box><|im_end|>,False
000000000139.jpg,detect,hybrid,0.651,8.27,10,1,1,1,1,<ref>person</ref><box><648><368><723><691></box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000000139.jpg,negative,hybrid,0.314,8.26,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000000139.jpg,point,hybrid,0.436,8.25,5,0,0,0,0,<ref>the traffic light</ref><box><383><51></box><box><432><82></box><box><482><116></box><|im_end|>,False
000000000139.jpg,detect_text,hybrid,12.862,8.25,247,4,114,114,114,<ref>.</ref><box><11><98><28><134></box><ref>.</ref><box><14><147><30><165></box><ref>.</ref><box><16><166><31><184></box><ref>.</ref><box><17><185><33><203></box><ref>.</ref><box><20><202><34><218></box><ref>.</ref><box><23><219><36><235></box><ref>.</ref><box><25><234><38><250></box><ref>.</ref><box><27><249><39><265></box><ref>.</ref><box><29><260><40><271></box><ref>.</ref><box><32><268><41><278></box><ref>.</ref><box><35><279><42><290></box><ref>.</ref><box><37><289><44><298></box><ref>.</ref><box><40><297><45><306></box><ref>.</ref><box><43><305><46><315></box><ref>.</ref><box><47><316><48><322></box><ref>.</ref><box><50><323><52><331></box><ref>.</ref><box><53><330><55><338></box><ref>.</ref><box><56><337><58><345></box><ref>.</ref><box><59><344><61><352></box><ref>.</ref><box><62><350><64><359></box><ref>.</ref><box><65><358><67><366></box><ref>.</ref><box><66><365><70><373></box><ref>.</ref><box><69><374><72><381></box><ref>.</ref><box><71><382><75><388></box><ref>.</ref><box><73><389><77><395></box><ref>.</ref><box><76><396><78><402></box><ref>.</ref><box><79><403><80><408></box><ref>.</ref><box><81><409><83><414></box><ref>.</ref><box><84><415><85><419></box><ref>.</ref><box><86><420><88><424></box><ref>.</ref><box><89><425><89><430></box><ref>.</ref><box><91><429><91><436></box><ref>.</ref><box><92><435><93><441></box><ref>.</ref><box><94><440><95><446></box><ref>.</ref><box><96><445><97><451></box><ref>.</ref><box><99><450><99><456></box><ref>.</ref><box><100><457><102><461></box><ref>.</ref><box><101><462><104><468></box><ref>.</ref><box><103><469><106><475></box><ref>.</ref><box><105><476><108><481></box><ref>.</ref><box><107><482><110><488></box><ref>.</ref><box><109><489><111><494></box><ref>.</ref><box><112><495><113><500></box><ref>.</ref><box><114><501><116><506></box><ref>.</ref><box><115><508><118><511></box><ref>.</ref><box><117><513><119><516></box><ref>.</ref><box><120><519><120><522></box><ref>.</ref><box><121><524><123><528></box><ref>.</ref><box><122><529><125><533></box><ref>.</ref><box><124><535><126><539></box><ref>.</ref><box><127><541><128><544></box><ref>.</ref><box><129><545><131><549></box><ref>.</ref><box><130><550><133><554></box><ref>.</ref><box><132><555><135><558></box><ref>.</ref><box><134><559><136><563></box><ref>.</ref><box><137><564><138><566></box><ref>.</ref><box><139><567><140><570></box><ref>.</ref><box><141><571><143><575></box><ref>.</ref><box><144><576><145><578></box><ref>.</ref><box><146><579><148><582></box><ref>.</ref><box><149><583><150><586></box><ref>.</ref><box><151><587><153><589></box><ref>.</ref><box><152><590><155><593></box><ref>.</ref><box><154><594><156><597></box><ref>.</ref><box><157><598><158><601></box><ref>.</ref><box><159><602><161><606></box><ref>.</ref><box><160><607><163><610></box><ref>.</ref><box><162><611><164><614></box><ref>.</ref><box><164><615><167><618></box><ref>.</ref><box><165><619><168><621></box><ref>.</ref><box><166><622><169><625></box><ref>.</ref><box><168><626><170><628></box><ref>.</ref><box><171><629><172><631></box><ref>.</ref><box><173><632><175><634></box><ref>.</ref><box><174><635><177><637></box><ref>.</ref><box><176><636><178><640></box><ref>.</ref><box><178><639><180><643></box><ref>.</ref><box><179><642><182><647></box><ref>.</ref><box><181><645><183><650></box><ref>.</ref><box><183><648><186><653></box><ref>.</ref><box><184><651><188><657></box><ref>.</ref><box><187><654><189><660></box><ref>.</ref><box><190><658><191><664></box><ref>.</ref><box><192><662><193><668></box><ref>.</ref><box><194><666><195><671></box><ref>.</ref><box><196><670><197><676></box><ref>.</ref><box><198><675><199><680></box><ref>.</ref><box><200><679><201><684></box><ref>.</ref><box><201><683><204><688></box><ref>.</ref><box><202><687><205><692></box><ref>.</ref><box><203><691><206><696></box><ref>.</ref><box><205><695><208><700></box><ref>.</ref><box><207><699><209><704></box><ref>.</ref><box><208><703><211><708></box><ref>.</ref><box><210><707><212><711></box><ref>.</ref><box><211><710><213><715></box><ref>.</ref><box><212><714><214><718></box><ref>.</ref><box><213><717><216><721></box><ref>.</ref><box><215><720><217><725></box><ref>.</ref><box><216><723><220><728></box><ref>.</ref><box><217><726><221><731></box><ref>.</ref><box><219><729><222><734></box><ref>.</ref><box><220><732><223><737></box><ref>.</ref><box><221><735><224><740></box><ref>.</ref><box><223><738><225><744></box><ref>.</ref><box><224><742><226><746></box><ref>.</ref><box><225><745><228><751></box><ref>.</ref><box><227><748><229><754></box><ref>.</ref><box><230><752><231><757></box><ref>.</ref><box><232><756><233><761></box><ref>.</ref><box><233><760><236><765></box><ref>.</ref><box><234><763><237><768></box><ref>.</ref><box><236><766><239><771></box><ref>.</ref><box><238><769><240><775></box>,True
000000000285.jpg,ground_single,hybrid,0.468,8.50,7,1,1,1,1,<ref>person</ref><box><0><106><998><991></box><|im_end|>,False
000000000285.jpg,detect,hybrid,0.470,8.50,7,0,0,0,0,<ref>person</ref><box>None</box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000000285.jpg,negative,hybrid,0.280,8.50,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000000285.jpg,point,hybrid,0.284,8.50,3,0,0,0,0,<ref>the traffic light</ref><box>None</box><|im_end|>,False
000000000632.jpg,ground_single,hybrid,0.460,8.33,7,1,1,1,1,<ref>person</ref><box><0><588><630><998></box><|im_end|>,False
000000000632.jpg,detect,hybrid,0.563,8.33,7,0,0,0,0,<ref>person</ref><box>None</box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000000632.jpg,negative,hybrid,0.308,8.33,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000000632.jpg,point,hybrid,0.283,8.33,3,0,0,0,0,<ref>the traffic light</ref><box><33><338></box><|im_end|>,False
000000000724.jpg,ground_single,hybrid,0.358,8.15,6,1,1,1,1,<ref>person</ref><box><104><528><176><638></box><|im_end|>,False
000000000724.jpg,detect,hybrid,0.413,8.15,7,0,1,1,1,<ref>person</ref><box>None</box><ref>car</ref><box><272><546><384><620></box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000000724.jpg,negative,hybrid,0.207,8.14,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000000724.jpg,point,hybrid,0.207,8.14,3,0,0,0,0,<ref>the traffic light</ref><box>None</box><|im_end|>,False
000000001000.jpg,ground_single,hybrid,0.557,8.33,8,1,1,1,1,<ref>person</ref><box><319><362><484><877></box><|im_end|>,False
000000001000.jpg,detect,hybrid,1.362,8.33,22,1,12,12,12,<ref>person</ref><box><69><388><173><827></box><box><184><315><308><790></box><box><283><252><425><819></box><box><325><362><481><871></box><box><416><204><556><854></box><box><512><319><650><979></box><box><539><256><625><894></box><box><619><331><728><998></box><box><620><250><694><935></box><box><645><440><820><998></box><box><684><227><777><469></box><box><788><398><998><998></box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000001000.jpg,negative,hybrid,0.255,8.33,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000001000.jpg,point,hybrid,0.242,8.33,3,0,0,0,0,<ref>the traffic light</ref><box>None</box><|im_end|>,False
000000001584.jpg,ground_single,hybrid,0.265,8.50,3,0,1,1,1,<ref>person</ref><box><297><502><412><611></box><|im_end|>,False
000000001584.jpg,detect,hybrid,1.296,8.50,22,3,8,8,8,<ref>person</ref><box><123><614><167><704></box><box><185><647><209><701></box><box><188><623><211><703></box><box><286><502><412><606></box><box><487><538><534><600></box><box><609><325><632><418></box><ref>car</ref><box><111><580><154><601></box><ref>bicycle</ref><box><134><660><206><706></box><|im_end|>,False
000000001584.jpg,negative,hybrid,0.270,8.50,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000001584.jpg,point,hybrid,0.323,8.50,3,0,0,0,0,<ref>the traffic light</ref><box>None</box><|im_end|>,False
000000039769.jpg,ground_single,hybrid,0.437,8.33,6,1,1,1,1,<ref>person</ref><box><0><0><998><992></box><|im_end|>,False
